"id";"cpu_percent";"ram_percent";"disk_percent";"download";"upload";"temp_celsius";"swap_percent";"tasks";"clock";"dataHora"
133;"15.0";"50.0";"48.4";"48.8";"12.0";"45.4";"65.7";"224.4";"3914.0";"2020-10-16 14:52:25"
134;"12.0";"50.0";"48.4";"68.4";"12.2";"46.4";"65.7";"223.0";"3924.0";"2020-10-16 14:52:30"
135;"25.6";"50.0";"48.4";"83.6";"12.2";"46.0";"66.0";"223.0";"3904.0";"2020-10-16 14:52:35"
136;"23.1";"49.9";"48.4";"52.6";"12.0";"46.2";"65.8";"223.0";"3909.0";"2020-10-16 14:52:40"
137;"33.6";"49.9";"48.4";"31.4";"12.4";"49.2";"65.8";"223.0";"3909.0";"2020-10-16 14:52:45"
138;"20.3";"49.9";"48.4";"67.6";"13.0";"47.8";"65.8";"223.0";"3914.0";"2020-10-16 14:52:50"
139;"16.2";"49.8";"48.4";"44.4";"12.2";"45.8";"65.7";"221.8";"3904.0";"2020-10-16 14:52:56"
140;"26.6";"49.9";"48.4";"35.4";"13.4";"50.0";"65.8";"225.6";"3909.0";"2020-10-16 14:53:01"
141;"13.7";"50.0";"48.4";"30.6";"13.2";"46.4";"65.8";"226.0";"3909.0";"2020-10-16 14:53:06"
142;"26.3";"50.0";"48.4";"41.4";"12.4";"49.4";"65.8";"226.0";"3904.0";"2020-10-16 14:53:11"
143;"19.1";"50.0";"48.4";"39.4";"12.4";"47.2";"65.8";"226.0";"3914.0";"2020-10-16 14:53:16"
144;"11.1";"50.0";"48.4";"36.4";"13.4";"44.2";"65.7";"226.0";"3909.0";"2020-10-16 14:53:21"
145;"23.3";"49.9";"48.4";"24.8";"15.0";"48.8";"65.7";"223.8";"3914.0";"2020-10-16 14:53:26"
146;"20.6";"49.9";"48.4";"33.0";"14.4";"46.6";"65.7";"223.0";"3929.0";"2020-10-16 14:53:31"
147;"23.0";"50.0";"48.4";"28.6";"13.2";"47.8";"65.7";"223.0";"3904.0";"2020-10-16 14:53:37"
148;"14.7";"49.9";"48.4";"30.2";"12.6";"46.2";"65.6";"223.0";"3904.0";"2020-10-16 14:53:42"
149;"14.3";"49.9";"48.4";"31.8";"12.4";"45.4";"65.7";"223.0";"3904.0";"2020-10-16 14:53:47"
150;"12.8";"49.9";"48.4";"34.0";"11.8";"44.8";"65.7";"222.6";"3909.0";"2020-10-16 14:53:52"
151;"22.8";"49.9";"48.4";"38.0";"11.6";"48.0";"65.7";"222.6";"3914.0";"2020-10-16 14:53:57"
152;"26.8";"50.0";"48.4";"44.2";"12.2";"49.4";"65.8";"225.8";"3914.0";"2020-10-16 14:54:02"
153;"29.5";"50.1";"48.4";"43.4";"12.2";"48.6";"65.8";"226.0";"3909.0";"2020-10-16 14:54:07"
154;"35.0";"50.0";"48.4";"33.8";"14.0";"48.6";"65.7";"226.0";"3904.0";"2020-10-16 14:54:12"
155;"21.4";"50.0";"48.4";"30.8";"12.4";"49.6";"65.7";"226.0";"3914.0";"2020-10-16 14:54:18"
156;"12.3";"50.0";"48.4";"38.0";"12.2";"46.8";"65.7";"225.6";"3919.0";"2020-10-16 14:54:23"
157;"11.4";"50.0";"48.4";"43.6";"12.0";"46.0";"65.7";"223.4";"3904.0";"2020-10-16 14:54:28"
158;"14.2";"50.0";"48.4";"61.4";"13.2";"45.0";"65.7";"223.0";"3919.0";"2020-10-16 14:54:33"
159;"7.0";"47.1";"48.5";"22.2";"11.0";"44.2";"62.0";"210.0";"3939.0";"2020-10-16 14:57:51"
160;"13.1";"47.0";"48.5";"26.2";"11.0";"46.2";"61.9";"208.8";"3753.8";"2020-10-16 14:57:56"
161;"25.8";"47.1";"48.5";"22.6";"10.6";"47.4";"62.0";"212.8";"3909.0";"2020-10-16 14:58:01"
